Body,aspect_terms
"Just perfect, I was used to quickbook desktop but this is next level.",
So easy to use. I look forward to using it again and again.,
"Great App, keeps my business manageable on the go.",App
It keeps me organized with my customers buying my products from me. Very easy to use and keep track of everything,Help
Each revision makes the app even better. I did not appreciate the price increase but if the service continues to improve then it is valuable to my organization.,
"They don't even deserve single star very very poor support/customer care, basically they don't support in solving the customer problems/feedback but they put big big support pages mentioning we will get back to you in 1 day support , all of nonsense. No one will respond or when we call the customer support team then also nobody responses... but they take the fee in advance that too full payment....very very disappointed and frustrated with Quickbooks!!!!","Quality, Performance, Customer Service"
"I'm a contractor, not a ""business man"" by any stretch. But, the QB staff have helped me many times to navigate and learn. Kudos!",Experience
3 stars as you are unable to run payrol on the go or even view payroll - employees wages which is a major part of this app that is missing. Also when uploading attachments you can attached anything other than a photo. No links to Dropbox etc which again is a major flaw,App
I like the ease of use but there were still a few things that were not intuitive such as determining who a cheque was written to for the account.,
Excellent for the iPad love I can do invoicing on the go,Invoicing
"I use the mobile version and it's access to my phone contacts makes it really good. there have been a few minor glitches with support but this is getting better and better - so apart from the few minor glitches early on then it would be getting 5⭐️
Latest update after 6 months - excellent 5 ⭐️",
Easy to use although experienced problem with VAT rate not being editable in online desktop version. Intuit' response was really quick and efficient and friendly. Highly recommend.,
"We need barcode scanning capabilities, ASAP!",
"I've been waiting years for the ability to attach files to an invoice from a Cloud-based source and it's finally here in this release. Thank you!

Now my computer usage is 99% iOS, independent of a desktop.",Invoicing
"The interface is nice but it does not at all fit to the European context that requests to work with multiple currencies. Further, many standard functionalities, like adding attachments disappeared, replaced by adding a picture, what is not understandable.
Bank reconciliation has a time out, so that the button accept disappears as you try to think if all is correct. You end up having to resell the the position in order to accept it.

I am very disappointed by the software as it seems that the developers never worked on a proper accounting system before. It makes me loose too much time instead of gaining time.
the only reason I still use it is because my accountant uses it.","Experience, App, Quality"
Love this app,App
Love this app. Very easy to use!,App
"À quand le kilométrage affaires dans Quickbooks pour iOS? Pas disponible pour les clients Plus

À quand la saisie de données pour les heures travaillées dans Quickbooks pour iOS?",Quality
It crashes and freezes every now and then which is annoying but it usually works very well. It's a very helpful app for my business,Quality
"QuickBooks Online, so far we like everything about EXCEPT for the fact that it works like crap on an iPad.  Please come out with an update and patch work soon It's not worth it.",Quality
Quickbooks has helped steamline our accounting and now we're really efficient 😀👍,
"I upgraded finally from the old desktop version and I love being able to write and send invoices on my iPad or phone on the go, and keep everything synced up. 

Admittedly, the cloud solution is designed to keep you paying, rather than plodding on with an old desktop version like I did for many years, and if you are on the basic version there may be a frustrating lack of one or two features that would just make life easier so you may end up upgrading, but for the convenience and intuitiveness of this app I think its worth it. 

I found some operations difficult to find, but with the customer support which is decent, I was able to find a way to get things done and it becomes natural after spending some time with it. 

Overall, there's a reasonable learning curve but it does what I end and is nice to use.","Invoicing, Quality, Customer Service"
"This new online version is the best
So far.  User friendly, everything you want to know is right in front of you when you sign in.  Easy to navigate",Experience
Good for small businesses. Good balance of features and complexity.,
Quickbooks have a fantastic app with full functionality of the browser version.,
Very cool to be able to access my business accounting on the fly from my phone.,Quality
Great app for full business functionality and ease of use. Price is a a bit high,App
It is what it is. It an app. It won't have all the features of a computer and you should not expect it to. Does exactly what I need it to in the field.,App
Works wonderfully!,
"This has made running 2 small companies so much easier. The product was recommended by our accountant and has made our accounting faster, simpler and hassle free. Highly recommended.","Experience, Quality"
"With our business at the end of our fingertips, QuickBooks provides the ease required to manage our income and expenses quickly and effortlessly. Having used most of the other leading brands, we find this is the best by far!",Expenses
"No signature capture

Update:   7-27-17

There is no signature capture on invoices even though they tell you there is there is not. It only applies through tak ing payment by credit card transaction through quickbooks. Something that is so basic to business the leading book keeping company can not provide. Walk into customers store drop product they sign the invoice received! Thats It! Nope not quickbooks so pass them up. Plus thats not counting time hours and hours of lousy customer service and back and forth till they finally fessed up to it. Don't waste your time.","Invoicing, Customer Service"
Such a time saver!,
Not intuitive. Bad customer satisfaction services.,Transactions
"I just want to upload an image as an attachment to an invoice. I also want the app to read the invoice and track mileage. Ohh, that's only on the cheaper self employed version that is severely stunted. In the 3 years I've been using qb, it's almost doubled in price and almost nothing has improved. Finally, when I request phone help from the phone app, why do I get a rep who knows nothing about the phone app? Where the request comes from isn't logged on the system so the right person can call!","Receipt Capture, Invoicing, Help, App"
Wow this is a fantastic program I am a new small business owner. I have learned aso much just by using this app!,App
Good apart from the top of the dashboard on the home page being greyed out.,Dashboard
Very good,
Easy to use and my Accountant recommended it highly.,Accountant
Slick app designed to make your business life better.,App
"Very disappointed, missing 6 months of transactions from my bank, tried to fix it as I was instructed to but couldn't, you can't get someone to speak to, no customer service. Big joke, I don't recommend it to anyone","Transactions, Customer Service"
Good app at new start...,App
Great,
"Doesn't work. After logged in, I can seem to review my accounts. This would be a great app if they could fix this issue.",Quality
Unless you are truly tech savvy avoid this app since finding help was as bad as getting help from FB or Instagram in my opinion.,"Quality, App"
Kinda tricky at first but easily learned,Experience
Switch to Xero even though its more expensive. Better off wasting money on a useless app. Cant even save a transaction. Lousy support and engineering team to not resolve such a essential feauture after 1 month. Subscribe at your own risk.,"Experience, Transactions, Customer Service, Subscription"
"Love QB, but this app is really glitchy. Asks for password, loops me back, won't let me activate fingerprint. I'm signed in using Google, when I click on my Google account it asks for my password, when I enter password, it puts me in a loop. The only fix is uninstalling and then reinstalling the app. Which I have to do daily. It's incredibly frustrating.",App
Great,
Great App but have had issues with mileage tracking freezing up while I am categorizing. It then kicks me out.,"Quality, Mileage Tracking"
"Log in issues and it stopped tracking my mileage on its on. I'm trying to pull my information for my taxes and it will not let me log on. More than frustrating, I want my money back!!!! And yes I have tried reinstalling the app!",Quality
Great Business Tool,
One of my top go-to apps. Very useful and a ton of functionality.,App
"Good but receipt scanning needs to be like the self employed app, if possible. Do that and 5 stars for def",Receipt Capture
Blessed and grtfl,
"Even though I canceled my subscription 1 month ago, it still continues to withhold money from me. Good news. They took my credit card yesterday again 4.99 cad. This is second time....",Subscription
"I really love the convenience this app has given me and my business over the last couple years. However, this last update seems to have removed the ""send/resend invoice"" button on the invoice page. I have relaunched the app a couple times, but no improvement. Could you please fix this? On another note, at some point I would also love it if you could add the ""Create Bill"" feature that QuickBooks online has.","Updates, Quality"
"Amazing app, I literally use it everyday. You need this app if you have your own business.",App
"It keeps logging out of my bank, and also deleted a lot of what I logged from last year.. now I dont have the correct information that I need... not very happy with this quickbooks app...",Quality
Makes book keeping so easy,
"Horrible, spent 2 hours trying to cancel subscription. They don't have the cancel button. Called them...45 min wait. Terrible service.","Experience, Subscription, Customer Service"
very user friendly,Updates
Cannot change estimates from pending to accepted on android version.,Estimates
You are the best,
Sucks. Terrible app,Quality
Bien,
"So far, so good... Much better and more functional than similar apps.",App
"Can't attach PDFs to expenses, but you can do this on the web? This is not helpful when I buy something online and need to attach a digital receipt.","Expenses, Receipt Capture"
"Awesome app, Makes management easy",App
"Easy navigation, easy access to invoices",Experience
"This software has made it possible for me to run a business having no prior experience, and not really being good at budgeting personally. Recommend it at the drop of a hat.",App
A very good app for accounting. Has made my life better.,App
Why this app is not in french ???,App
"Very disappointed that once the app downloads popup advertising constantly appears on the phone. Not only does it just come up on a screen, but no matter what app you may be in you will be diverted to quickbooks app and then diverted to their advertisers page. VERY ANNOYING! Especially in time sensitive situations like login situations on other sites, or snapchat. I am seriously considering deleting the app if they don't fix this problem soon.","Quality, Experience"
Very helpful tool in the office and in the field,
Great,
Very easy to use and providing all functionality I need,
Not very user friendly. Can't preview invoices. Can't load tax keeps giving errors. Can't setup invoice layout with logo ect.... Already paid in advance but can't use it.,"Invoicing, Tax"
I love how easy quick books is to learn but it can be quite confusing at times. The tutorials in you tube and on the Intuit website are super helpful. There are so many things you can accomplish so much faster when you discover the correct path to take. I had some accounting experience and understand the logistics but getting deeper into the realm of bookkeeping and advanced accounting principals has proven to be a challenge to say the least but I'm determined to keep at it until I'm an expert!!,"Experience, Help"
"I liked it.. I just logged into my bank account from this app and all myvanking info was there like my investments, chequeing and savings accounts all in 1 place... It's more for business people and you have 2 pay monthly fees",App
I downloaded this app and not once has it worked. It crashes when I'm trying to login. I've never made it past the login screen!,"App, Quality"
Esse aplicativo é muito bom para deixar o celular mais leve e mais rotavel eu recomendo a todos e deixar cinco estrelas que esse aplicativo mereçe.,
The QuickBooks mobile app is user-friendly and has most of the functions available the PC app has.,Quality
Love it!!!,
"Garbage, won't let you delete your account. It took hours to finally be able to delete email and account, save yourself the hassle and dont download it.","Quality, Performance"
This app helps me out alot I really like it.,App
"0/500. 6/500. 21/500. 33/500,",
Great app! I use this to manage my small business information.,
Will be great very soon,
No complaints so far! It's been very easy and there are plenty of videos online to explain things.,Help
Good. Needs ability to save credit card info so easy to invoice in the future.,Invoicing
Session expired!?!? Just signed up....,Quality
Sometimes Glitchy. some days it works some days it doesnt but overall worth ther money becasue the Website always works,Quality
Really nice,
Awesome book keeping app.,App
"Error Everytime I log in, and requires password so often. Edit: the log in is working, but when I try to add an expense it doesn't save, the same button doesn't work","Quality, Expenses"
Great!,
Great!,
Premier retour d'expérience positif après quelques jours d'utilisaton. 4 étoiles car nous cherchons encore quelques outils et la mise en page du devis facture pourrait être amélioré notamment par le rappel de produits déjà rédigés et les principaux outils gras italique taille de police,
Limited functionality. Some developers have chosen from over function.,
Easy to operate and great functionality,Experience
Smooth,
This app does so much for our new business!):,App
Every invoice i have done since the beginning of 2017 says 90 plus days past due,
"Even though I canceled my subscription 1 month ago, it still continues to withhold money from me.",Subscription
Moyen,
This is the best way to do mobile accounting for a service business!!,
Excellente application,
Good,
Good job,
I've had quick books for several years now & i love it!!!,
"I have tried to use this on my phone and on my tablet , it is by far the most glitchy software I've ever used. It keeps wanting to kick me back to into it instead of the QuickBooks mobile. It constantly keep telling me my password is incorrect even after I just changed it again. Not sure if I'm the only one having this problem or not. But I do not recommend QuickBooks online to anyone for any reason. And unfortunately every time I call customer service for any kind of help I get the run around",Customer Service
"Great app, very useful",App
So easy to use and realized how much I've been spending. Really hurting profits. Now I can minimize expenses and increase profits. Worth every penny!!!!,Expenses
So easy to use!,
Malfunctions on every level. Did not attach a single receipt picture to the transaction. Brought in the bank accounts and scrambled them. Even on the desktop deposits are expenses and you cannot edit them,"Quality, Receipt Capture, Transactions"
Great experience,
Bonsoir je n'arrive pas a me créer un compte il me propose juste de me connecter mais je n'ai pas de compte je souhaite en créer un,
1 star : I have been inundated with advertisements are so much I went ahead and download it it just so that I could give it a review. hopefully they will not continue to bug me with YouTube videos and all these unimportant advertisements I didn't ask for in the first place.,Quality
Works great. Takes longer to do things because it's on a smartphone.,
Lonell is BELOVE AND LOVE THIS,
"Great app, easy to use, very helpful to track your expenses",App
I have had this app for my business for about 1 year. every time I spent the money new transection comes up 2 time . And it's too hard to remove on transection.,"App, Transactions, Experience"
Khup mats ashe pan par rate vadatat,
Love this. Ticks all the boxes for my small business accounting needs!,Quality
"Absolutely overwhelming! you surround yourselves with the most incredible and pleasant staff. Bill, just like the the other individuals that I talked with in the last two days are extraordinary and simply the best. Thanks a lot for all your help. Pedro","Experience, Customer Service"
dont want,
Extremely slow. No it not slow wifi no it's not the device note 10 it's just a slow app,"Experience, Performance, App"
easy to use and very conventient to access on the job,
My App has stopped working on my Samsung s9 for 2 days in a row. You should have sent an email to inform subscribers if your app is going to be experiencing a downtime.,App
"The app is great and works well. However, I can't attach PDFs, I can only attach images to expenses. Please fix this issue.",Expenses
"Cancelling your subscription seems impossible. I've emailed, called, used their help menu. It shouldn't be this hard. Still trying to cancel.",Subscription
"J'essaye de rentrer avec mon adresse email et rien ne fonctionne je ne suis pas capable , je trouve sa poche !!",
Easy and user friendly app,"Updates, App"
"Très bonne application pour gerer sa comptabilité de base. Cependant, je n'ai pas trouvé le moyen de faire des crédits. Que ce soit une note de crédit ou un crédit sur une facture, il ne semble pas possible de le faire.",
Great software. So easy to use and very reliable.,"App, Experience"
Super time saving account management,
Signing up is not supported for Android in India.,Quality
Has become my.#1 accounting sw.,
User friendly,Experience
Won't allow me to login on the mobile app. Desktop works fine. Still tracking my SMS using my phone...just cant access my account This account does not allow for access online through the app... something like that is the error message I get,"Quality, App"
Awful customer service,Customer Service
Very easy to quote and input information 👍,Quality
Deleting your account is a nightmare!!,Experience
Love it. Great for doing ESTIMATES,Estimates
Good,
Great app. Never knew how much time you spen in transit until the tracking app was installed. 👍👍,App
What is the schedule to have Bank Of America accounts working with QuickBooks again? I'm thinking it may be better to cancel my subscription and switch to a better solution.,Subscription
Great job,
Looking for an update to more easily track hours per job.,App
"Lot of features in Mobile does not work. Like adding mileage gives error all the time, adding an expense gives an error, but when you see it online expenses are added. Lot of small bugs, very slow application overall.","Quality, Mileage Tracking, Expenses, Performance"
I gave it a week b4 I changed my rating my qb is now working perfectly no more stress on updating my sales n payments... Thanks team 5 star well deserved,
Useless app. Waste of money. Lousy support. Subscribe at your own risk. I am cancelling mine,"App, Customer Service, Subscription"
A Good Business Partner!,
Useless app. Not user friendly. Waste of money. Major disappointment,"App, Experience"
Olha vcs estao de parabens,
Working hard to get this goning,
No logro ponerlo en español.,
Poor online mobile service,
Très bien et excellent support clientèle.,Customer Service
Great app,App
Easy to use.,
Te saturan con publicidad,
g Respecting Patience Work As Good Work Is Good Earning,
"Great accounting capabilities for Small and Medium enterprises, compatible across all my devices. Taxation is resolved quickly, no stress and most definitely no complains","Tax, Experience"
Love this app,App
"Great tool , that covers everything you need in businesses big or small",
Great so far Very organized...,
I cannot view transaction's this app is just ok. Very buggie transaction litterly NEVER work. Even the web version sucks. I'm currently looking to replace quick books because it doesn't import PayPal sales,"Transactions, App, Quality"
Awesome 👍,
Very user friendly and accessible,
"Works as advertised, simple to use and learn.",Experience
Had everything that I needed to run my business.,
"Update 2020: Since the last 2 updates, the app is broken now and does not work at all. Can't log in, and just get a 'device appears to be offline' message. Edit - the login issue persisted for about a week. Uninstall/clear cache etc did nothing. Waiting it out was all that helped. QB development often release updates without proper testing. Updates are usually followed by further updates, so be aware, and delay updating if all seems to be working on your current version.","Updates, Quality"
Easy access to receipt and monitoring funds made and spent,Receipt Capture
Too often getting experiencing technical difficulties when trying to login.,Quality
AWESOME,
Good,
So far so good,
Great,
Dreadful experience so far. Bought QB 16th Dec 2019 and cant get a call back from an English speaker to help me with set up despite multiple attempts! Why is Sales UK based but Support isnt? This is 2nd review - 1st disappeared!!! So disappointed and very desperate to get started. I can login to QB Online but says Im in USA not UK. I have emailed you twice now. Still no reply.,"Experience, Quality"
Great,
So you should be able to use the same #for an invoice as an estimate. The size of he invoice / estimate # should be in a larger font. Should have the option to call map etc the customer from in the invoice w/o having to back out and go into the customer and then call. The option to move a customer from estimate to invoice and back again ( with the same # ) would be extremely helpful.,"Invoicing, Estimates, Customer"
"I've downloaded this app, uninstalled it, and reinstalled it and it will not allow me to create an account. It continually signs me out and I have to re-enter all my information. I'm giving up!","App, Quality"
Its a good app.,App
Update has NOT fixed this issue! Why can't I see bank account details in the app? You can on the iOS app contacted help desk who couldn't help! Without access to accounts the app is effectively useless. I have done everything you suggest. Home screen is now blank! So even worse than when I started. I have also contacted support with no solution as yet.,"Updates, App, Customer Service, Dashboard"
This app is simple and really easy to use. Makes my job way easier.,"App, Experience"
Helps to keep our business running. Love the mobile ability,
Good,
This app is basically useless. It doesn't show all of the information in the customer and vendor profiles so if I'm trying to look anything up with my phone I had to go onto the actual website in my phones browser to find anything I need. Why even make the app if it's not going to show you everything?,"Experience, Customer"
I love the simple features on the app.,"Experience, App"
Brilliant,
Sucks...,
Update required for displaying purchase invoices,"Updates, Invoicing"
Ño,
I cant for the life of me grasp how I need to male an account before even seeing a demo or testing. Not cool,Quality
"I am not quite sure about QuickBooks customer service. I have been billed over $400 a month for the last 5 months. I I have yet to have my QuickBooks reconciled in any type of way. It is so messed up. I've gone through four different accountants. On top of that, there was a bug, I did get reimbursed for the payroll aspect of it, but have not yet been able to utilize the actual program I am paying for. It definitely does not show up on this app either. I am so frustrated.","Customer Service, Quality, Payroll"
So far so good!!,
I am having trouble getting on my mobile app keep getting errors I have spoke with intuit help to no Avail,Quality
"Bonne application en général, cependant le suivi du kilométrage est inutile. Il ne fait que compter la distance entre le point A et B, ce qui est loin d'être représentatif de la distance conduite. Google Maps effectue un meilleur travail à ce niveau.",
"Love this app, keeps track of all my expenses and payments from clients. Easiest way to do estimates and invoices as well.","App, Expenses, Estimates, Invoicing"
great bookkeeping app,App
Love it,
I love the freedom that qbook gives me with the online version I can work at any place out side of the office.. also update are free and there free support team are the best. Thanks so much qbook for be there for my business and me..,"Updates, Customer Service"
App never up to date with website or it does not show you everything you can see online. Sometimes you can't even see anyone's invoices or estimates. Always an issue.,"App, Invoicing, Estimates, Quality"
"☢️ Testversion — 30-Tage / nur Englisch 👎🏼 ☢️ deinstallliert ⚠️ Edit: Aber wozu eine APP, wenn ich um die Website nicht herumkomme ⁉️",
Dreadful experience so far. Bought QB 16th Dec 2019 and cant get a call back from an English speaker to help me with set up despite multiple attempts! Why is Sales UK based but Support isnt? This is 2nd review - 1st disappeared!!! So disappointed and very desperate to get started. I can login to QB Online but says Im in USA not UK Please tell me who to email in response QB,"Experience, Quality"
"Great app, user friendly and very versatile!","App, Experience"
I'm completely new to this app. Because of that I might not know what to look for. But this makes starting up a business extremely easy. Definitely plan on subscribing once the trial is up. 👍And would gladly suggest this app to anyone looking for this kind of help and ease.,"App, Subscription"
Easy to use,
Great,
Works great for our small business!,
"Great app, makes my life much easier!!",App
Love it. So easy,
☢️ Testversion — 30-Tage / nur Englisch 👎🏼 ☢️ deinstallliert ⚠️,
Nice app,App
Dreadful experience so far. Bought QB 16th Dec 2019 and cant get a call back from an English speaker to help me with set up despite multiple attempts! Why is Sales UK based but Support isnt? This is 2nd review - 1st disappeared!!! So disappointed and very desperate to get started.,"Experience, Quality"
"Worst app ever!!! When logged in only options are help, feed back and something else so unnecessary. You're suppose to be able to scan your receipts .. nope! Hi Kyle, since I am unable to reply to you I am editing my review and answering you here. No, it does not allow me to scan My receipt. It allows you to do nothing on the app except for access help , feed back. My husband has the same app on this phone and yes he's able to upload receipts etc.","App, Help, Receipt Capture"
Love it,
After eading all the problems and seeing 90% of the reviews being 1 star im going to save a headache on this scam app should be taken off the market or sued for false advertising and costing people thousands of dollars. All the responses from support sound like they are prewritten for the complaints. Please take app off the market and quit ruing the admin side of peoples hard work to start a business.,"Quality, App, Experience, Customer Service"
Will not connect to bank,
Didnt realise you had to pay,App
Easy to work with and keep track of your work all in one place!,
Easy to use has simplified my life,
Halimuzzaman Syed. Islami bank Ltd bangladesh.,
Since the update I am not able to find the mileage tracking feature on the Android app,Mileage Tracking
"Convenient, but I wish I were more familiar with business accounting. Not for beginners.",Experience
Super,
Super,
BE ADVISED THAT YOU WILL HAVE TO PAY FOR THIS APP AFTER YOU ENTER ALL YOUR INFO!,App
At first I thought this was a great app. And a good program. Now I'm finding out more and more that it sucks. Beware you will never be able to talk to anybody. When you have a problem they want you to ask other people that have this program. You cannot talk to anybody at all. They misdirect you through loops. Soon as I finish collecting on invoices I have open I will close this account and never use it again. Highly recommend to find a better app and a better program. This is a joke...,"App, Experience, Invoicing"
1/13/20 update - Issue resolved but shouldn't have taken this many weeks. 1/7/20 Update - I had used the mobile app for Android for quite a long time with no issue and then approximately one month ago after an update the dashboard no longer has any information and is blank. I can still see activity but there's no way to get to customers or any of the other functions. I've emailed previously with no response. Previous review: Works well for viewing quickbooks info and taking payments,"Updates, Quality, App, Dashboard, Customer"
"Similar issues as Gillian, Dashboard blank, constant error messages on mobile. I also ended up accidentally reinstalling a slightly different version and was paying double!! I didn't realize there were two very similar apps!! I also uninstalled re-installed and it didn't fix issue. I am currently trying to figure out how to recover all the expenses and photo's of receipts for the tax season.","Quality, Dashboard"
I only gave it a stare so I could write a review! There are hidden fees and bad customer service! I will not recommend this system ever!!!!!!!!!!!!,Customer Service
Works a treat,
"If I can navigate this app, anyone can! Super easy and really professional. I'm loving it! I love the different reports as well. Thank you!","Experience, Reports"
"Amazing This app can be difficult to get used to, Like ensure you use docx to make your templates,and don't use bold ever.. Setup your email template etc etc But it ends up being the best app ever.. It's features on the mobile app for invoicing, balance's, incoming and outgoing, tax digitally, are so convenient. I am organized now, and everything is handled for professionally.",App
Good job,
This is the best thing I ever did for billing!,
"I used for years and worked great the online QuickBooks. If cancelling, be careful because it has glitch and it is hard to get the refund.",Quality
They said in your invoice that you can cancel anytime and it's not true! It has a glitch and I couldn't cancel it. Make me lost two days trying to cancel it and then even charge me the month and did not give back my money. They went from 17 dollars a month to 40 dollars per month! Don't never quickbooks,"Invoicing, Subscription, Quality"
Excellent app.,App
Nice Application.,Quality
"WORST BACKEND SUPPORT EVER! THE ENGINEERS ARE UNABLE TO RESOLVE A SIMPLE ""SAVE"" FEATURE WHICH IS A NECESSITY IN ALL SOFTWARES. AND WHEN THEY CANNOT RESOLVE, THEY JUST SHUT YOU OFF BY SENDING YOU A THANK YOU EMAIL. WASTE OF TIME AND MONEY. UNRELIABLE AND LOUSY SUPPORT TRY IT AT YOUR OWN RISK","Customer Service, Quality"
good n help full,
"The instructions in the help section are out of date or just completely wrong. I can't set my cost of goods. QB makes my cost my sale price and there seems to be no way to fix that. So it creates a lot of extra work to reconcile sales and costs. It's BS considering this is an essential function of accounting. But of all the options QB is the cheapest, so I guess it's this or go somewhere else and pay more money to have an accounting program perform slightly more than basic functions.","Help, Quality, App"
"I can't delete my account! I installed the app, and create profile, but it seems that there is no way you can't delete your account or ask Quick book to forget your info, I'm afraid I shared my info.",App
not real sure what time I will be there.,
"The interface is really cute. On my laptop, online has consistent data. I have used this for over 3 years and one thing that seems to be VERY consistent is the phone app is boo boo. It never pulled data accurately. Whenever I need to pull overdue invoices for a client, the app fails (it will not show them). I have to pull over and pull out my computer. That's stupid. Intuit has tremendous resources and they always have various bugs and the app has always been slow.","Experience, App, Quality, Invoicing, Performance"
very user friendly. Easy to use.,
Great so far!,
Excellent for tracking my accounts. Saves me loads of time and is super convenient to use on phone or laptop,
Great start up,
Easy to use and cheap to run,
"Not user friendly, disappointing, easier to log into my bank. Home page cuts off ability to view all accounts AND their balances. Cannot organize or sort homepage. Account balances are not updated frequently enough, last update was over 16 hours ago. Liked QuickBooks self-employed version. Changes I made on desktop version did not come through on app. Waste of time to use.",Experience
Overall excellent app little disappointed as the app has updated the other day and the activity function has gone which is now a bit slower without it if this can be brought back it would be great,"App, Quality, Updates, Performance"
"If I can navigate this app, anyone can! Super easy and really professional. I'm loving it! I love the different reports as well. Thank you!","Experience, Reports"
Solved my problem with today's update patch... Thanks quickbooks team 👍,Updates
Amazing app,App
Quickbooks makes doing business easy!! The app compliments the desk top program!!,App
Great app. Getting better all the time too,App
"Update 2020: Since the last 2 updates, the app is broken now and does not work at all. Can't log in, and just get a 'device appears to be offline' message.","Updates, Quality"
"Since last week couldn't login on Android or Web application. . Tried out Ignito mode, different browsers., clearing cache even did not worked out. What's the problem guys?",Quality
"Am trying to login, wont let me, technical problems. I have all my expenses in there...","Quality, Expenses"
"I don't seem to be able to login with Google. Is this supported on the mobile app (Android), like it is supported on the website?",Quality
Maks invoicing on the go fast and easy. Just write it up and send it to their email.,Invoicing
Looks simple and imteresting,Experience
It's just great to have for a small business on the road. 😉,
Cant log in. The Google app version does not communicate with the regular QB site. It's not useful if I cant log in with the app on my phone.,"Quality, Experience"
"Perfect for the sole trader, easy to use 5*",
So easy to use.,
"Haven't dug deep into the options available, but thus far my experience has been very good.",Experience
"Since the update I can't connect, always says I don't have a internet connection.",
"This app, seems to have great features but has nany problems, 1, when creating an invoice and saving, there is no indication that it has actually been saved, them try to leave the page the app asks if i want to leave without saving IDK since IDK if it has been saved. Then you leave page and find that multiple invoices have been created, UGH. 2,There is only a name slot for new customer entry, no first, last name. After creating a new customer have to change entry from computer. Counter intuitive","App, Quality, Invoicing"
Great for one person small business,
Decent,
"Works all fine and easy to use. Pro tip: if anything breaks, delete your local cache and try again 😊 (thanks to the QB support)",Quality
"Having a similar problem as many other users recently. Dashboard is blank on my phone app. Needing to generate invoices on my tablet. Been like this for a few weeks now. Tried uninstall/reinstall, no help. Very unhappy. Please resolve this quickly!!! Uninstalled/reinstalled again today (10/1/20). Still the same, then a small update was available, dashboard is back but has an odd banner across the top, something do do with this review but I can only read a small portion!","Quality, Dashboard, Invoicing, Experience"
This app doesn't work! Such a disappointment to say the least! I'll edit my review once the app is available for use! Still not working! Uninstalling for now! I hope that you fix it!,"App, Experience, Quality"
Muy buena pero como puedo poner mi logo?,
This app doesn't work! Such a disappointment to say the least! I'll edit my review once the app is available for use! Still not working!,"App, Experience"
Good app,App
I can receive money's from clientele and keep all of my expenses organized in such a simple way!,Expenses
Need a portal for employees,
Ahora sí voy a evaluar 5 estrellas ya que la atención a mi problema fue resuelto de inmediato. Muchas gracias.,
It works,
Cant find my reciepts that I entered,
Since the most recent update I cannot see my dashboard or add expenses to my company. Fix It. Done all diagnostic steps so this update is invalid. Galaxy s10+ here,"Updates, Dashboard, Expenses"
I've had this app for over a year. First 6 months it worked great. All of a sudden I get an error code saying I can't use the banking section. Very inconvenient. It's been like this for 3+ months.,App
Was working for a couple months. Now I can longer link to my Bank account and the app constantly freezes with either a blank screen or white screen. Completely useless..,"App, Experience"
"Perfect for the sole trader, easy to use 5*",
"The app has stopped working on my phone, I've been trying to log in for 2 weeks now and it constantly said the Internet isn't connected, which it is. Have sent an email via your contact details abs had no response regarding this issue.",App
Problem in sigin to app,"Quality, App"
"This program is absolute garbage!! The list of things it cannot do is much longer than what it can. You can't even print off a $#%# vendor invoice, how hard is that. You can print off everything else, just not that. Your sales tax system is a complete joke, after I complained that the system was ignoring the fact that some of my clients were tax exempt they fixed that by clearing all my tax exempt preferences. Dont even bother calling to support, you'll get some diptuit who dont know squat.","Quality, Invoicing, Sales Tax, Experience, Customer Service"
Since they changed the app its not working properly nothing appears on the dashboard and can't produce invoices,"App, Dashboard, Invoicing"
Having issues with the app and no help!,"Quality, Payroll"
Incredible,
Will not load dashboard. Has not worked in a month. I've tried uninstalling and downloading a fresh version. Nothing helps. We are a business user and this is a real inconvenience.,"Dashboard, Quality, Experience"
"Was great, while it worked. Like the previous review, on a Galaxy S9 I just get a blank dashboard and cannot enter new expenses. So the product has no use. Not very impressed with QB's ""we're working on it"" response. This should have been basic testing done by the team, not by paying customers.","Dashboard, Expenses, Quality"
After update my app estimate not add on mobile please help me,"App, Estimates"
This app doesn't work! Such a disappointment to say the least! I'll edit my review once the app is available for use!,"App, Experience"
Very handy.,
Very professional,
Y don't have acount before,
Super user friendly.,Updates
Great,
"Like many other I can no longer log in to the app, spoke to Barbara on chat via the browser version and she seemed unaware of the problem despite several reviews mentioning it. Otherwise I like the app (when it works!) although there are less functions than desktop. Good particularly for scanning bills but can't do that at the moment...",App
App great for small businesses.,"App, Quality"
The new update just doesnt detect internet connection and hence cant login.,Quality
Loved it,
Use less,
Worked ok for a couple if weeks but home screen no longer visible on galaxy s10,Help
It makes life so much easier and its eady to learn and gain knowledge and experience,Experience
1/7/20 Update - I had used the mobile app for Android for quite a long time with no issue and then approximately one month ago after an update the dashboard no longer has any information and is blank. I can still see activity but there's no way to get to customers or any of the other functions. I've emailed previously with no response.  Previous review: Works well for viewing quickbooks info and taking payments,"App, Quality, Dashboard, Customer"
"I've used other platforms but this is the best. Clear, concise and easy to use. I love quickbooks.",
Very easy to use,
Great to work with.,
"Was working ok then app was updated,. Help centre can't give time to fix or troubleshoot to be able to use this whilst out on jobsites Not happy at all costing money","App, Updates, Quality, Experience"
Great for a businessmen To help make an agenda and better then your wife,
Dashboard won't even populate. Menu button doesn't work. I can only see recent activity. I can not use the app at all!!!!,Dashboard
